admission_number,student_name,grade,section,total_fee,paid_amount,due_amount,late_fee,status
ADM-2026-02409,Sneha Sharma,12th Grade,C,15000.0,2519.53,12480.47,500.0,DEFAULT_AGED
ADM-2026-02410,Aditya Joshi,11th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02411,Krishna Joshi,10th Grade,C,12000.0,4084.86,7915.14,0.0,PENDING_DUE
ADM-2026-02412,Sneha Nair,12th Grade,D,22000.0,8346.43,13653.57,0.0,PENDING_DUE
ADM-2026-02413,Amit Menon,10th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02414,Kavita Reddy,12th Grade,A,15000.0,10348.1,4651.9,0.0,PENDING_DUE
ADM-2026-02415,Pankaj Singh,11th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02416,Diya Sen,12th Grade,C,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02417,Vikas Mehta,11th Grade,C,12000.0,4344.31,7655.69,0.0,PENDING_DUE
ADM-2026-02418,Neha Patel,11th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02419,Reyansh Nair,9th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02420,Aarav Mehta,12th Grade,D,18000.0,7854.17,10145.83,0.0,PENDING_DUE
ADM-2026-02421,Sai Nair,12th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02422,Ishaan Menon,12th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02423,Vivaan Gupta,10th Grade,A,12000.0,8117.4,3882.6,0.0,PENDING_DUE
ADM-2026-02424,Rahul Bose,11th Grade,B,12000.0,1701.33,10298.67,1000.0,DEFAULT_AGED
ADM-2026-02425,Vihaan Iyer,11th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02426,Pankaj Kumar,10th Grade,D,22000.0,9141.69,12858.31,0.0,PENDING_DUE
ADM-2026-02427,Pooja Deshmukh,11th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02428,Pooja Deshmukh,11th Grade,C,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02429,Aarav Sharma,12th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02430,Diya Das,10th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02431,Krishna Sen,10th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02432,Ayaan Malhotra,10th Grade,C,18000.0,3977.26,14022.74,0.0,PENDING_DUE
ADM-2026-02433,Sneha Sharma,12th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02434,Pooja Das,12th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02435,Arjun Mehta,9th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02436,Kavita Iyer,10th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02437,Sai Rao,11th Grade,C,15000.0,2093.13,12906.87,500.0,DEFAULT_AGED
ADM-2026-02438,Kavita Pillai,11th Grade,B,12000.0,442.78,11557.22,250.0,DEFAULT_AGED
ADM-2026-02439,Aarav Choudhury,12th Grade,B,22000.0,11209.41,10790.59,0.0,PENDING_DUE
ADM-2026-02440,Priya Pillai,9th Grade,C,15000.0,8424.96,6575.04,0.0,PENDING_DUE
ADM-2026-02441,Amit Patel,10th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02442,Riya Sen,12th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02443,Kavita Gupta,9th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02444,Ishaan Joshi,12th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02445,Ishaan Das,12th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02446,Krishna Pillai,11th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02447,Aditya Deshmukh,9th Grade,C,22000.0,10949.42,11050.58,0.0,PENDING_DUE
ADM-2026-02448,Riya Malhotra,11th Grade,D,15000.0,5999.94,9000.06,0.0,PENDING_DUE
ADM-2026-02449,Aditya Gupta,9th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02450,Sai Singh,9th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02451,Priya Iyer,11th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02452,Neha Nair,9th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02453,Diya Sen,9th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02454,Kavita Malhotra,12th Grade,C,18000.0,7442.76,10557.24,0.0,PENDING_DUE
ADM-2026-02455,Aarav Malhotra,11th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02456,Rohan Reddy,11th Grade,B,12000.0,7100.09,4899.91,0.0,PENDING_DUE
ADM-2026-02457,Ishaan Deshmukh,9th Grade,C,15000.0,3685.54,11314.46,0.0,PENDING_DUE
ADM-2026-02458,Diya Reddy,12th Grade,D,22000.0,6040.17,15959.83,0.0,PENDING_DUE
ADM-2026-02459,Diya Joshi,10th Grade,B,12000.0,23.19,11976.81,250.0,DEFAULT_AGED
ADM-2026-02460,Karan Choudhury,10th Grade,A,15000.0,3720.04,11279.96,0.0,PENDING_DUE
ADM-2026-02461,Anjali Mehta,11th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02462,Pankaj Bose,10th Grade,C,18000.0,8800.23,9199.77,0.0,PENDING_DUE
ADM-2026-02463,Neha Singh,10th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02464,Aadhya Kumar,10th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02465,Diya Malhotra,10th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02466,Ayaan Menon,9th Grade,C,22000.0,8941.46,13058.54,0.0,PENDING_DUE
ADM-2026-02467,Vivaan Rao,10th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02468,Rohan Sharma,12th Grade,A,18000.0,6878.25,11121.75,0.0,PENDING_DUE
ADM-2026-02469,Rahul Reddy,10th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02470,Pankaj Verma,11th Grade,D,22000.0,5933.76,16066.24,500.0,DEFAULT_AGED
ADM-2026-02471,Karan Joshi,10th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02472,Anjali Malhotra,12th Grade,C,18000.0,2375.52,15624.48,1000.0,DEFAULT_AGED
ADM-2026-02473,Anjali Menon,9th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02474,Reyansh Malhotra,9th Grade,A,22000.0,12792.39,9207.61,0.0,PENDING_DUE
ADM-2026-02475,Arjun Gupta,11th Grade,B,12000.0,8316.21,3683.79,0.0,PENDING_DUE
ADM-2026-02476,Pooja Bose,9th Grade,B,22000.0,3416.24,18583.76,1000.0,DEFAULT_AGED
ADM-2026-02477,Vikas Verma,11th Grade,D,22000.0,13136.81,8863.19,0.0,PENDING_DUE
ADM-2026-02478,Sanya Sharma,9th Grade,D,15000.0,9440.79,5559.21,0.0,PENDING_DUE
ADM-2026-02479,Vihaan Gupta,10th Grade,D,15000.0,6885.47,8114.53,0.0,PENDING_DUE
ADM-2026-02480,Priya Das,11th Grade,C,15000.0,3671.67,11328.33,500.0,DEFAULT_AGED
ADM-2026-02481,Rahul Iyer,11th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02482,Vikas Menon,11th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02483,Vivaan Pillai,9th Grade,C,12000.0,6529.59,5470.41,0.0,PENDING_DUE
ADM-2026-02484,Krishna Malhotra,10th Grade,D,12000.0,6274.04,5725.96,0.0,PENDING_DUE
ADM-2026-02485,Ananya Singh,12th Grade,A,12000.0,3305.28,8694.72,250.0,DEFAULT_AGED
ADM-2026-02486,Anjali Nair,10th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02487,Vivaan Joshi,11th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02488,Riya Sharma,11th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02489,Rahul Sen,9th Grade,A,15000.0,7440.33,7559.67,0.0,PENDING_DUE
ADM-2026-02490,Aditya Reddy,11th Grade,C,22000.0,12191.71,9808.29,0.0,PENDING_DUE
ADM-2026-02491,Krishna Nair,12th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02492,Vihaan Sen,9th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02493,Rahul Verma,11th Grade,C,22000.0,13802.85,8197.15,0.0,PENDING_DUE
ADM-2026-02494,Aarav Patel,10th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02495,Karan Verma,11th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02496,Neha Sharma,11th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02497,Meera Mehta,12th Grade,D,22000.0,12659.91,9340.09,0.0,PENDING_DUE
ADM-2026-02498,Reyansh Patel,11th Grade,C,22000.0,12111.54,9888.46,0.0,PENDING_DUE
ADM-2026-02499,Ishaan Pillai,9th Grade,A,18000.0,8403.76,9596.24,0.0,PENDING_DUE
ADM-2026-02500,Diya Das,9th Grade,B,18000.0,3902.1,14097.9,250.0,DEFAULT_AGED
ADM-2026-02501,Vihaan Reddy,11th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02502,Sai Sharma,11th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02503,Diya Choudhury,10th Grade,C,15000.0,6924.17,8075.83,0.0,PENDING_DUE
ADM-2026-02504,Vivaan Menon,9th Grade,D,12000.0,2051.99,9948.01,250.0,DEFAULT_AGED
ADM-2026-02505,Karan Reddy,12th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02506,Diya Malhotra,9th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02507,Aditya Iyer,9th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02508,Sai Mehta,12th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02509,Priya Joshi,11th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02510,Aarav Patel,9th Grade,B,22000.0,12883.07,9116.93,0.0,PENDING_DUE
ADM-2026-02511,Diya Sharma,11th Grade,C,12000.0,668.39,11331.61,1000.0,DEFAULT_AGED
ADM-2026-02512,Reyansh Pillai,10th Grade,C,22000.0,8942.4,13057.6,0.0,PENDING_DUE
ADM-2026-02513,Rohan Menon,9th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02514,Pooja Deshmukh,12th Grade,C,18000.0,6296.17,11703.83,0.0,PENDING_DUE
ADM-2026-02515,Rahul Malhotra,10th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02516,Meera Verma,11th Grade,C,15000.0,8801.62,6198.38,0.0,PENDING_DUE
ADM-2026-02517,Aarav Sharma,12th Grade,A,22000.0,12765.01,9234.99,0.0,PENDING_DUE
ADM-2026-02518,Diya Deshmukh,12th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02519,Vivaan Sharma,10th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02520,Riya Das,10th Grade,C,15000.0,65.05,14934.95,1000.0,DEFAULT_AGED
ADM-2026-02521,Diya Choudhury,9th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02522,Rahul Reddy,11th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02523,Amit Sen,9th Grade,A,12000.0,3522.75,8477.25,500.0,DEFAULT_AGED
ADM-2026-02524,Aadhya Singh,9th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02525,Kavita Deshmukh,12th Grade,A,18000.0,4043.49,13956.51,250.0,DEFAULT_AGED
ADM-2026-02526,Karan Deshmukh,11th Grade,B,12000.0,2467.48,9532.52,0.0,PENDING_DUE
ADM-2026-02527,Aditya Reddy,12th Grade,D,18000.0,7383.76,10616.24,0.0,PENDING_DUE
ADM-2026-02528,Krishna Verma,10th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02529,Amit Sharma,9th Grade,A,18000.0,3474.04,14525.96,250.0,DEFAULT_AGED
ADM-2026-02530,Kavita Patel,9th Grade,C,18000.0,12378.14,5621.86,0.0,PENDING_DUE
ADM-2026-02531,Pari Das,10th Grade,A,12000.0,3904.45,8095.55,0.0,PENDING_DUE
ADM-2026-02532,Aarav Kumar,10th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02533,Pari Deshmukh,9th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02534,Aarav Malhotra,10th Grade,D,15000.0,3112.13,11887.87,500.0,DEFAULT_AGED
ADM-2026-02535,Rahul Joshi,12th Grade,B,12000.0,3445.93,8554.07,500.0,DEFAULT_AGED
ADM-2026-02536,Amit Choudhury,10th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02537,Aadhya Deshmukh,9th Grade,A,18000.0,8319.95,9680.05,0.0,PENDING_DUE
ADM-2026-02538,Aditya Patel,9th Grade,A,12000.0,6884.01,5115.99,0.0,PENDING_DUE
ADM-2026-02539,Sneha Nair,9th Grade,A,15000.0,9495.97,5504.03,0.0,PENDING_DUE
ADM-2026-02540,Pari Deshmukh,10th Grade,B,22000.0,13259.59,8740.41,0.0,PENDING_DUE
ADM-2026-02541,Ayaan Gupta,9th Grade,C,22000.0,9538.48,12461.52,0.0,PENDING_DUE
ADM-2026-02542,Aadhya Joshi,10th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02543,Pari Iyer,11th Grade,D,12000.0,2112.21,9887.79,250.0,DEFAULT_AGED
ADM-2026-02544,Reyansh Iyer,9th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02545,Riya Sen,12th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02546,Rohan Rao,12th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02547,Pooja Iyer,12th Grade,C,15000.0,7081.69,7918.31,0.0,PENDING_DUE
ADM-2026-02548,Aadhya Rao,10th Grade,C,18000.0,5992.09,12007.91,0.0,PENDING_DUE
ADM-2026-02549,Vivaan Pillai,12th Grade,C,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02550,Sanya Rao,12th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02551,Aditya Mehta,11th Grade,D,18000.0,8321.51,9678.49,0.0,PENDING_DUE
ADM-2026-02552,Arjun Menon,12th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02553,Priya Joshi,10th Grade,C,15000.0,7902.49,7097.51,0.0,PENDING_DUE
ADM-2026-02554,Ananya Pillai,9th Grade,C,15000.0,7745.9,7254.1,0.0,PENDING_DUE
ADM-2026-02555,Rahul Pillai,9th Grade,B,15000.0,5766.74,9233.26,0.0,PENDING_DUE
ADM-2026-02556,Diya Deshmukh,11th Grade,D,22000.0,10484.7,11515.3,0.0,PENDING_DUE
ADM-2026-02557,Ananya Patel,10th Grade,C,18000.0,8540.88,9459.12,0.0,PENDING_DUE
ADM-2026-02558,Sneha Joshi,12th Grade,C,12000.0,6858.31,5141.69,0.0,PENDING_DUE
ADM-2026-02559,Sneha Iyer,12th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02560,Sanya Mehta,12th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02561,Meera Sen,9th Grade,D,18000.0,3910.35,14089.65,250.0,DEFAULT_AGED
ADM-2026-02562,Ayaan Bose,12th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02563,Ishaan Gupta,9th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02564,Diya Sen,12th Grade,D,18000.0,5597.29,12402.71,0.0,PENDING_DUE
ADM-2026-02565,Riya Joshi,10th Grade,B,22000.0,15317.47,6682.53,0.0,PENDING_DUE
ADM-2026-02566,Aadhya Verma,10th Grade,B,18000.0,465.85,17534.15,250.0,DEFAULT_AGED
ADM-2026-02567,Amit Das,10th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02568,Sai Nair,12th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02569,Pankaj Pillai,10th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02570,Vikas Kumar,9th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02571,Vivaan Reddy,12th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02572,Aarav Nair,10th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02573,Pankaj Das,9th Grade,D,22000.0,14907.55,7092.45,0.0,PENDING_DUE
ADM-2026-02574,Karan Das,12th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02575,Kavita Kumar,9th Grade,C,22000.0,11807.03,10192.97,0.0,PENDING_DUE
ADM-2026-02576,Arjun Bose,11th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02577,Neha Deshmukh,11th Grade,C,18000.0,290.9,17709.1,1000.0,DEFAULT_AGED
ADM-2026-02578,Rahul Pillai,12th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02579,Pankaj Iyer,10th Grade,C,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02580,Diya Bose,11th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02581,Karan Gupta,12th Grade,A,15000.0,3761.01,11238.99,0.0,PENDING_DUE
ADM-2026-02582,Karan Sharma,9th Grade,C,18000.0,10288.4,7711.6,0.0,PENDING_DUE
ADM-2026-02583,Meera Gupta,11th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02584,Aadhya Sharma,10th Grade,D,15000.0,8538.15,6461.85,0.0,PENDING_DUE
ADM-2026-02585,Diya Mehta,12th Grade,A,18000.0,2976.55,15023.45,250.0,DEFAULT_AGED
ADM-2026-02586,Sanya Verma,10th Grade,A,12000.0,4415.51,7584.49,0.0,PENDING_DUE
ADM-2026-02587,Arjun Pillai,12th Grade,A,15000.0,3249.15,11750.85,0.0,PENDING_DUE
ADM-2026-02588,Aadhya Kumar,11th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02589,Diya Kumar,12th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02590,Meera Sharma,9th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02591,Karan Reddy,9th Grade,B,22000.0,5265.23,16734.77,0.0,PENDING_DUE
ADM-2026-02592,Krishna Singh,12th Grade,C,12000.0,2424.86,9575.14,0.0,PENDING_DUE
ADM-2026-02593,Aadhya Sen,11th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02594,Neha Bose,9th Grade,B,22000.0,15253.41,6746.59,0.0,PENDING_DUE
ADM-2026-02595,Aadhya Bose,10th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02596,Neha Kumar,9th Grade,C,22000.0,10646.11,11353.89,0.0,PENDING_DUE
ADM-2026-02597,Pooja Das,11th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02598,Aditya Nair,11th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02599,Pankaj Rao,10th Grade,B,22000.0,367.96,21632.04,1000.0,DEFAULT_AGED
ADM-2026-02600,Vihaan Kumar,12th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02601,Aarav Singh,11th Grade,C,15000.0,9519.63,5480.37,0.0,PENDING_DUE
ADM-2026-02602,Meera Pillai,11th Grade,B,18000.0,10081.62,7918.38,0.0,PENDING_DUE
ADM-2026-02603,Aadhya Rao,11th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02604,Rahul Gupta,10th Grade,A,22000.0,2156.76,19843.24,1000.0,DEFAULT_AGED
ADM-2026-02605,Amit Bose,9th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02606,Rohan Bose,9th Grade,C,15000.0,4236.64,10763.36,1000.0,DEFAULT_AGED
ADM-2026-02607,Ayaan Malhotra,9th Grade,D,22000.0,8509.24,13490.76,0.0,PENDING_DUE
ADM-2026-02608,Aditya Choudhury,9th Grade,A,22000.0,6988.05,15011.95,0.0,PENDING_DUE
ADM-2026-02609,Diya Joshi,10th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02610,Diya Verma,10th Grade,C,18000.0,930.34,17069.66,1000.0,DEFAULT_AGED
ADM-2026-02611,Rohan Rao,10th Grade,C,12000.0,2144.49,9855.51,500.0,DEFAULT_AGED
ADM-2026-02612,Krishna Reddy,9th Grade,A,12000.0,6009.63,5990.37,0.0,PENDING_DUE
ADM-2026-02613,Priya Singh,10th Grade,A,15000.0,7836.04,7163.96,0.0,PENDING_DUE
ADM-2026-02614,Aarav Rao,11th Grade,C,15000.0,8897.12,6102.88,0.0,PENDING_DUE
ADM-2026-02615,Aarav Malhotra,9th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02616,Riya Nair,11th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02617,Pari Patel,10th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02618,Aarav Choudhury,9th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02619,Riya Rao,11th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02620,Pooja Choudhury,9th Grade,A,12000.0,1225.18,10774.82,500.0,DEFAULT_AGED
ADM-2026-02621,Aadhya Deshmukh,11th Grade,B,12000.0,7002.09,4997.91,0.0,PENDING_DUE
ADM-2026-02622,Sanya Menon,10th Grade,D,12000.0,2216.79,9783.21,250.0,DEFAULT_AGED
ADM-2026-02623,Aarav Choudhury,12th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02624,Vikas Sharma,9th Grade,B,15000.0,9079.63,5920.37,0.0,PENDING_DUE
ADM-2026-02625,Aadhya Das,10th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02626,Arjun Gupta,12th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02627,Pankaj Reddy,10th Grade,C,22000.0,2464.15,19535.85,250.0,DEFAULT_AGED
ADM-2026-02628,Amit Bose,10th Grade,C,15000.0,765.48,14234.52,1000.0,DEFAULT_AGED
ADM-2026-02629,Krishna Reddy,12th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02630,Pankaj Malhotra,12th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02631,Pari Mehta,12th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02632,Riya Pillai,12th Grade,C,15000.0,3464.52,11535.48,0.0,PENDING_DUE
ADM-2026-02633,Priya Das,11th Grade,B,22000.0,2646.29,19353.71,250.0,DEFAULT_AGED
ADM-2026-02634,Sneha Sharma,9th Grade,C,18000.0,1809.24,16190.76,500.0,DEFAULT_AGED
ADM-2026-02635,Arjun Joshi,10th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02636,Vikas Sharma,9th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02637,Pankaj Iyer,12th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02638,Amit Pillai,12th Grade,A,22000.0,120.0,21880.0,250.0,DEFAULT_AGED
ADM-2026-02639,Ananya Bose,10th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02640,Karan Patel,11th Grade,B,12000.0,6615.64,5384.36,0.0,PENDING_DUE
ADM-2026-02641,Sanya Patel,10th Grade,B,18000.0,3140.07,14859.93,1000.0,DEFAULT_AGED
ADM-2026-02642,Aarav Malhotra,11th Grade,B,22000.0,8369.34,13630.66,0.0,PENDING_DUE
ADM-2026-02643,Reyansh Reddy,11th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02644,Krishna Malhotra,11th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02645,Rohan Kumar,11th Grade,B,18000.0,8827.79,9172.21,0.0,PENDING_DUE
ADM-2026-02646,Karan Kumar,9th Grade,D,22000.0,11149.59,10850.41,0.0,PENDING_DUE
ADM-2026-02647,Amit Sharma,12th Grade,B,15000.0,1859.33,13140.67,250.0,DEFAULT_AGED
ADM-2026-02648,Neha Nair,11th Grade,D,22000.0,1010.16,20989.84,250.0,DEFAULT_AGED
ADM-2026-02649,Aditya Singh,11th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02650,Anjali Verma,9th Grade,A,18000.0,3574.9,14425.1,1000.0,DEFAULT_AGED
ADM-2026-02651,Rahul Rao,12th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02652,Reyansh Pillai,12th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02653,Karan Sharma,9th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02654,Priya Reddy,9th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02655,Krishna Kumar,9th Grade,C,18000.0,1880.15,16119.85,250.0,DEFAULT_AGED
ADM-2026-02656,Sneha Nair,9th Grade,C,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02657,Ishaan Mehta,12th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02658,Meera Sen,10th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02659,Pooja Singh,12th Grade,C,18000.0,3956.43,14043.57,500.0,DEFAULT_AGED
ADM-2026-02660,Vihaan Das,9th Grade,B,18000.0,8423.34,9576.66,0.0,PENDING_DUE
ADM-2026-02661,Vikas Deshmukh,11th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-02662,Priya Verma,9th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02663,Neha Joshi,12th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-02664,Rahul Singh,9th Grade,C,22000.0,9899.36,12100.64,0.0,PENDING_DUE
ADM-2026-02665,Vivaan Sharma,12th Grade,A,22000.0,2435.31,19564.69,500.0,DEFAULT_AGED
ADM-2026-02666,Sneha Kumar,9th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02667,Sanya Joshi,11th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-02668,Pari Malhotra,10th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-02669,Pankaj Mehta,10th Grade,B,18000.0,8077.38,9922.62,0.0,PENDING_DUE
